game_key,lineup_spot,player_name,pa,ab,h,1b,2b,3b,hr,rbi,r,bb,so,sf,fc,gidp,outs,notes
soviet-sluggers-2021-06-16-2030-biohazard,11,Layshock,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-16-2030-biohazard,12,JT,3,2,0,0,0,0,0,1,0,0,0,1,0,0,,
soviet-sluggers-2021-06-23-2030-refuse-to-win,1,Layshock,5,5,4,4,0,0,0,1,3,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2030-refuse-to-win,2,Glove,5,5,4,2,1,0,1,5,3,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2030-refuse-to-win,3,JJ,4,4,2,2,0,0,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2030-refuse-to-win,4,Corey,4,4,2,2,0,0,0,1,2,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2030-refuse-to-win,5,Porter,4,4,2,1,0,0,1,3,1,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2030-refuse-to-win,6,Teo,5,4,2,1,0,0,1,3,1,1,0,0,0,0,,
soviet-sluggers-2021-06-23-2030-refuse-to-win,7,Stevie,4,4,2,2,0,0,0,0,2,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2030-refuse-to-win,8,Duff,4,4,2,1,0,1,0,2,2,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2030-refuse-to-win,9,Kives,4,3,2,0,2,0,0,1,1,1,0,0,0,0,,
soviet-sluggers-2021-06-23-2030-refuse-to-win,10,Jason,4,3,1,1,0,0,0,1,1,0,0,1,0,0,,
soviet-sluggers-2021-06-23-2030-refuse-to-win,11,JT,4,3,0,0,0,0,0,1,1,1,1,0,0,0,,
soviet-sluggers-2021-06-23-2130-refuse-to-win,1,Porter,5,5,5,3,0,0,2,3,4,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2130-refuse-to-win,2,Layshock,5,5,4,2,2,0,0,1,3,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2130-refuse-to-win,3,Teo,5,5,4,0,0,1,3,6,4,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2130-refuse-to-win,4,JJ,5,5,3,2,1,0,0,1,3,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2130-refuse-to-win,5,Corey,4,4,3,2,1,0,0,1,2,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2130-refuse-to-win,6,Glove,5,5,3,1,1,1,0,3,2,0,0,0,0,0,,
soviet-sluggers-2021-06-23-2130-refuse-to-win,7,Kives,4,4,3,3,0,0,0,1,2,0,0,0,0,0,,
